** FASE 1: Generazione dei 4-subset a distanza casuale (4)
** Base set: 0000000000000000000000000001111 {a, b, c, d}
 215 [4]: (004130) 0000000000000000100000100110000 {e, f, i, o}
 216 [4]: (004150) 0000000000000000100000101010000 {e, g, i, o}
 217 [4]: (004160) 0000000000000000100000101100000 {f, g, i, o}
 218 [4]: (004190) 0000000000000000100000110010000 {e, h, i, o}
 219 [4]: (0041A0) 0000000000000000100000110100000 {f, h, i, o}
 220 [4]: (0041C0) 0000000000000000100000111000000 {g, h, i, o}
 221 [4]: (004230) 0000000000000000100001000110000 {e, f, j, o}
 222 [4]: (004250) 0000000000000000100001001010000 {e, g, j, o}
 223 [4]: (004260) 0000000000000000100001001100000 {f, g, j, o}
 224 [4]: (004290) 0000000000000000100001010010000 {e, h, j, o}
 225 [4]: (0042A0) 0000000000000000100001010100000 {f, h, j, o}
 226 [4]: (0042C0) 0000000000000000100001011000000 {g, h, j, o}
 227 [4]: (004310) 0000000000000000100001100010000 {e, i, j, o}
 228 [4]: (004320) 0000000000000000100001100100000 {f, i, j, o}
 229 [4]: (004340) 0000000000000000100001101000000 {g, i, j, o}
 230 [4]: (004380) 0000000000000000100001110000000 {h, i, j, o}
 231 [4]: (004430) 0000000000000000100010000110000 {e, f, k, o}
 232 [4]: (004450) 0000000000000000100010001010000 {e, g, k, o}
 233 [4]: (004460) 0000000000000000100010001100000 {f, g, k, o}
 234 [4]: (004490) 0000000000000000100010010010000 {e, h, k, o}
 235 [4]: (0044A0) 0000000000000000100010010100000 {f, h, k, o}
 236 [4]: (0044C0) 0000000000000000100010011000000 {g, h, k, o}
 237 [4]: (004510) 0000000000000000100010100010000 {e, i, k, o}
 238 [4]: (004520) 0000000000000000100010100100000 {f, i, k, o}
 239 [4]: (004540) 0000000000000000100010101000000 {g, i, k, o}
 240 [4]: (004580) 0000000000000000100010110000000 {h, i, k, o}
 241 [4]: (004610) 0000000000000000100011000010000 {e, j, k, o}
 242 [4]: (004620) 0000000000000000100011000100000 {f, j, k, o}
 243 [4]: (004640) 0000000000000000100011001000000 {g, j, k, o}
 244 [4]: (004680) 0000000000000000100011010000000 {h, j, k, o}
 245 [4]: (004700) 0000000000000000100011100000000 {i, j, k, o}
 246 [4]: (004830) 0000000000000000100100000110000 {e, f, l, o}
 247 [4]: (004850) 0000000000000000100100001010000 {e, g, l, o}
 248 [4]: (004860) 0000000000000000100100001100000 {f, g, l, o}
 249 [4]: (004890) 0000000000000000100100010010000 {e, h, l, o}
 250 [4]: (0048A0) 0000000000000000100100010100000 {f, h, l, o}
 251 [4]: (0048C0) 0000000000000000100100011000000 {g, h, l, o}
 252 [4]: (004910) 0000000000000000100100100010000 {e, i, l, o}
 253 [4]: (004920) 0000000000000000100100100100000 {f, i, l, o}
 254 [4]: (004940) 0000000000000000100100101000000 {g, i, l, o}
 255 [4]: (004980) 0000000000000000100100110000000 {h, i, l, o}
 256 [4]: (004A10) 0000000000000000100101000010000 {e, j, l, o}
 257 [4]: (004A20) 0000000000000000100101000100000 {f, j, l, o}
 258 [4]: (004A40) 0000000000000000100101001000000 {g, j, l, o}
 259 [4]: (004A80) 0000000000000000100101010000000 {h, j, l, o}
 260 [4]: (004B00) 0000000000000000100101100000000 {i, j, l, o}
 261 [4]: (004C10) 0000000000000000100110000010000 {e, k, l, o}
 262 [4]: (004C20) 0000000000000000100110000100000 {f, k, l, o}
 263 [4]: (004C40) 0000000000000000100110001000000 {g, k, l, o}
 264 [4]: (004C80) 0000000000000000100110010000000 {h, k, l, o}
 265 [4]: (004D00) 0000000000000000100110100000000 {i, k, l, o}
 266 [4]: (004E00) 0000000000000000100111000000000 {j, k, l, o}
 267 [4]: (005030) 0000000000000000101000000110000 {e, f, m, o}
 268 [4]: (005050) 0000000000000000101000001010000 {e, g, m, o}
 269 [4]: (005060) 0000000000000000101000001100000 {f, g, m, o}
 270 [4]: (005090) 0000000000000000101000010010000 {e, h, m, o}
 271 [4]: (0050A0) 0000000000000000101000010100000 {f, h, m, o}
 272 [4]: (0050C0) 0000000000000000101000011000000 {g, h, m, o}
 273 [4]: (005110) 0000000000000000101000100010000 {e, i, m, o}
 274 [4]: (005120) 0000000000000000101000100100000 {f, i, m, o}
 275 [4]: (005140) 0000000000000000101000101000000 {g, i, m, o}
 276 [4]: (005180) 0000000000000000101000110000000 {h, i, m, o}
 277 [4]: (005210) 0000000000000000101001000010000 {e, j, m, o}
