** FASE 1: Generazione dei 4-subset a distanza casuale (1)
** Base set: 000000001111 {a, b, c, d}
 234 [3]: (000688) 011010001000 {d, h, j, k}
 235 [3]: (000708) 011100001000 {d, i, j, k}
 236 [3]: (000838) 100000111000 {d, e, f, l}
 237 [3]: (000858) 100001011000 {d, e, g, l}
 238 [3]: (000868) 100001101000 {d, f, g, l}
 239 [3]: (000898) 100010011000 {d, e, h, l}
 240 [3]: (0008A8) 100010101000 {d, f, h, l}
 241 [3]: (0008C8) 100011001000 {d, g, h, l}
 242 [3]: (000918) 100100011000 {d, e, i, l}
 243 [3]: (000928) 100100101000 {d, f, i, l}
 244 [3]: (000948) 100101001000 {d, g, i, l}
 245 [3]: (000988) 100110001000 {d, h, i, l}
 246 [3]: (000A18) 101000011000 {d, e, j, l}
 247 [3]: (000A28) 101000101000 {d, f, j, l}
 248 [3]: (000A48) 101001001000 {d, g, j, l}
 249 [3]: (000A88) 101010001000 {d, h, j, l}
 250 [3]: (000B08) 101100001000 {d, i, j, l}
 251 [3]: (000C18) 110000011000 {d, e, k, l}
 252 [3]: (000C28) 110000101000 {d, f, k, l}
 253 [3]: (000C48) 110001001000 {d, g, k, l}
 254 [3]: (000C88) 110010001000 {d, h, k, l}
 255 [3]: (000D08) 110100001000 {d, i, k, l}
 256 [3]: (000E08) 111000001000 {d, j, k, l}
 257 [3]: (000074) 000001110100 {c, e, f, g}
 258 [3]: (0000B4) 000010110100 {c, e, f, h}
 259 [3]: (0000D4) 000011010100 {c, e, g, h}
 260 [3]: (0000E4) 000011100100 {c, f, g, h}
 261 [3]: (000134) 000100110100 {c, e, f, i}
 262 [3]: (000154) 000101010100 {c, e, g, i}
 263 [3]: (000164) 000101100100 {c, f, g, i}
 264 [3]: (000194) 000110010100 {c, e, h, i}
 265 [3]: (0001A4) 000110100100 {c, f, h, i}
 266 [3]: (0001C4) 000111000100 {c, g, h, i}
 267 [3]: (000234) 001000110100 {c, e, f, j}
 268 [3]: (000254) 001001010100 {c, e, g, j}
 269 [3]: (000264) 001001100100 {c, f, g, j}
 270 [3]: (000294) 001010010100 {c, e, h, j}
 271 [3]: (0002A4) 001010100100 {c, f, h, j}
 272 [3]: (0002C4) 001011000100 {c, g, h, j}
 273 [3]: (000314) 001100010100 {c, e, i, j}
 274 [3]: (000324) 001100100100 {c, f, i, j}
 275 [3]: (000344) 001101000100 {c, g, i, j}
 276 [3]: (000384) 001110000100 {c, h, i, j}
 277 [3]: (000434) 010000110100 {c, e, f, k}
 278 [3]: (000454) 010001010100 {c, e, g, k}
 279 [3]: (000464) 010001100100 {c, f, g, k}
 280 [3]: (000494) 010010010100 {c, e, h, k}
 281 [3]: (0004A4) 010010100100 {c, f, h, k}
 282 [3]: (0004C4) 010011000100 {c, g, h, k}
 283 [3]: (000514) 010100010100 {c, e, i, k}
 284 [3]: (000524) 010100100100 {c, f, i, k}
 285 [3]: (000544) 010101000100 {c, g, i, k}
 286 [3]: (000584) 010110000100 {c, h, i, k}
 287 [3]: (000614) 011000010100 {c, e, j, k}
 288 [3]: (000624) 011000100100 {c, f, j, k}
 289 [3]: (000644) 011001000100 {c, g, j, k}
 290 [3]: (000684) 011010000100 {c, h, j, k}
 291 [3]: (000704) 011100000100 {c, i, j, k}
 292 [3]: (000834) 100000110100 {c, e, f, l}
 293 [3]: (000854) 100001010100 {c, e, g, l}
 294 [3]: (000864) 100001100100 {c, f, g, l}
 295 [3]: (000894) 100010010100 {c, e, h, l}
 296 [3]: (0008A4) 100010100100 {c, f, h, l}
 297 [3]: (0008C4) 100011000100 {c, g, h, l}
 298 [3]: (000914) 100100010100 {c, e, i, l}
 299 [3]: (000924) 100100100100 {c, f, i, l}
 300 [3]: (000944) 100101000100 {c, g, i, l}
 301 [3]: (000984) 100110000100 {c, h, i, l}
 302 [3]: (000A14) 101000010100 {c, e, j, l}
 303 [3]: (000A24) 101000100100 {c, f, j, l}
 304 [3]: (000A44) 101001000100 {c, g, j, l}
 305 [3]: (000A84) 101010000100 {c, h, j, l}
 306 [3]: (000B04) 101100000100 {c, i, j, l}
 307 [3]: (000C14) 110000010100 {c, e, k, l}
 308 [3]: (000C24) 110000100100 {c, f, k, l}
 309 [3]: (000C44) 110001000100 {c, g, k, l}
 310 [3]: (000C84) 110010000100 {c, h, k, l}
