** FASE 1: Generazione dei 5-subset a distanza casuale (4)
** Base set: 0000011111 {a, b, c, d, e}
 192 [3]: (0002C9) 1011001001 {a, d, g, h, j}
 193 [3]: (000329) 1100101001 {a, d, f, i, j}
 194 [3]: (000349) 1101001001 {a, d, g, i, j}
 195 [3]: (000389) 1110001001 {a, d, h, i, j}
 196 [3]: (0000E6) 0011100110 {b, c, f, g, h}
 197 [3]: (000166) 0101100110 {b, c, f, g, i}
 198 [3]: (0001A6) 0110100110 {b, c, f, h, i}
 199 [3]: (0001C6) 0111000110 {b, c, g, h, i}
 200 [3]: (000266) 1001100110 {b, c, f, g, j}
 201 [3]: (0002A6) 1010100110 {b, c, f, h, j}
 202 [3]: (0002C6) 1011000110 {b, c, g, h, j}
 203 [3]: (000326) 1100100110 {b, c, f, i, j}
 204 [3]: (000346) 1101000110 {b, c, g, i, j}
 205 [3]: (000386) 1110000110 {b, c, h, i, j}
 206 [3]: (0000E5) 0011100101 {a, c, f, g, h}
 207 [3]: (000165) 0101100101 {a, c, f, g, i}
 208 [3]: (0001A5) 0110100101 {a, c, f, h, i}
 209 [3]: (0001C5) 0111000101 {a, c, g, h, i}
 210 [3]: (000265) 1001100101 {a, c, f, g, j}
 211 [3]: (0002A5) 1010100101 {a, c, f, h, j}
 212 [3]: (0002C5) 1011000101 {a, c, g, h, j}
 213 [3]: (000325) 1100100101 {a, c, f, i, j}
 214 [3]: (000345) 1101000101 {a, c, g, i, j}
 215 [3]: (000385) 1110000101 {a, c, h, i, j}
 216 [3]: (0000E3) 0011100011 {a, b, f, g, h}
 217 [3]: (000163) 0101100011 {a, b, f, g, i}
 218 [3]: (0001A3) 0110100011 {a, b, f, h, i}
 219 [3]: (0001C3) 0111000011 {a, b, g, h, i}
 220 [3]: (000263) 1001100011 {a, b, f, g, j}
 221 [3]: (0002A3) 1010100011 {a, b, f, h, j}
 222 [3]: (0002C3) 1011000011 {a, b, g, h, j}
 223 [3]: (000323) 1100100011 {a, b, f, i, j}
 224 [3]: (000343) 1101000011 {a, b, g, i, j}
 225 [3]: (000383) 1110000011 {a, b, h, i, j}

=== d = 4 ===
 226 [4]: (0001F0) 0111110000 {e, f, g, h, i}
 227 [4]: (0002F0) 1011110000 {e, f, g, h, j}
 228 [4]: (000370) 1101110000 {e, f, g, i, j}
 229 [4]: (0003B0) 1110110000 {e, f, h, i, j}
 230 [4]: (0003D0) 1111010000 {e, g, h, i, j}
 231 [4]: (0001E8) 0111101000 {d, f, g, h, i}
 232 [4]: (0002E8) 1011101000 {d, f, g, h, j}
 233 [4]: (000368) 1101101000 {d, f, g, i, j}
 234 [4]: (0003A8) 1110101000 {d, f, h, i, j}
 235 [4]: (0003C8) 1111001000 {d, g, h, i, j}
 236 [4]: (0001E4) 0111100100 {c, f, g, h, i}
 237 [4]: (0002E4) 1011100100 {c, f, g, h, j}
 238 [4]: (000364) 1101100100 {c, f, g, i, j}
 239 [4]: (0003A4) 1110100100 {c, f, h, i, j}
 240 [4]: (0003C4) 1111000100 {c, g, h, i, j}
 241 [4]: (0001E2) 0111100010 {b, f, g, h, i}
 242 [4]: (0002E2) 1011100010 {b, f, g, h, j}
 243 [4]: (000362) 1101100010 {b, f, g, i, j}
 244 [4]: (0003A2) 1110100010 {b, f, h, i, j}
 245 [4]: (0003C2) 1111000010 {b, g, h, i, j}
 246 [4]: (0001E1) 0111100001 {a, f, g, h, i}
 247 [4]: (0002E1) 1011100001 {a, f, g, h, j}
 248 [4]: (000361) 1101100001 {a, f, g, i, j}
 249 [4]: (0003A1) 1110100001 {a, f, h, i, j}
 250 [4]: (0003C1) 1111000001 {a, g, h, i, j}

=== d = 5 ===
 251 [5]: (0003E0) 1111100000 {f, g, h, i, j}

** Subset generati: 251

