** FASE 1: Generazione dei 3-subset a distanza casuale (2)
** Base set: 0000000000000000000111 {a, b, c}
 173 [2]: (00002A) 0000000000000000101010 {b, d, f}
 174 [2]: (000032) 0000000000000000110010 {b, e, f}
 175 [2]: (00004A) 0000000000000001001010 {b, d, g}
 176 [2]: (000052) 0000000000000001010010 {b, e, g}
 177 [2]: (000062) 0000000000000001100010 {b, f, g}
 178 [2]: (00008A) 0000000000000010001010 {b, d, h}
 179 [2]: (000092) 0000000000000010010010 {b, e, h}
 180 [2]: (0000A2) 0000000000000010100010 {b, f, h}
 181 [2]: (0000C2) 0000000000000011000010 {b, g, h}
 182 [2]: (00010A) 0000000000000100001010 {b, d, i}
 183 [2]: (000112) 0000000000000100010010 {b, e, i}
 184 [2]: (000122) 0000000000000100100010 {b, f, i}
 185 [2]: (000142) 0000000000000101000010 {b, g, i}
 186 [2]: (000182) 0000000000000110000010 {b, h, i}
 187 [2]: (00020A) 0000000000001000001010 {b, d, j}
 188 [2]: (000212) 0000000000001000010010 {b, e, j}
 189 [2]: (000222) 0000000000001000100010 {b, f, j}
 190 [2]: (000242) 0000000000001001000010 {b, g, j}
 191 [2]: (000282) 0000000000001010000010 {b, h, j}
 192 [2]: (000302) 0000000000001100000010 {b, i, j}
 193 [2]: (00040A) 0000000000010000001010 {b, d, k}
 194 [2]: (000412) 0000000000010000010010 {b, e, k}
 195 [2]: (000422) 0000000000010000100010 {b, f, k}
 196 [2]: (000442) 0000000000010001000010 {b, g, k}
 197 [2]: (000482) 0000000000010010000010 {b, h, k}
 198 [2]: (000502) 0000000000010100000010 {b, i, k}
 199 [2]: (000602) 0000000000011000000010 {b, j, k}
 200 [2]: (00080A) 0000000000100000001010 {b, d, l}
 201 [2]: (000812) 0000000000100000010010 {b, e, l}
 202 [2]: (000822) 0000000000100000100010 {b, f, l}
 203 [2]: (000842) 0000000000100001000010 {b, g, l}
 204 [2]: (000882) 0000000000100010000010 {b, h, l}
 205 [2]: (000902) 0000000000100100000010 {b, i, l}
 206 [2]: (000A02) 0000000000101000000010 {b, j, l}
 207 [2]: (000C02) 0000000000110000000010 {b, k, l}
 208 [2]: (00100A) 0000000001000000001010 {b, d, m}
 209 [2]: (001012) 0000000001000000010010 {b, e, m}
 210 [2]: (001022) 0000000001000000100010 {b, f, m}
 211 [2]: (001042) 0000000001000001000010 {b, g, m}
 212 [2]: (001082) 0000000001000010000010 {b, h, m}
 213 [2]: (001102) 0000000001000100000010 {b, i, m}
 214 [2]: (001202) 0000000001001000000010 {b, j, m}
 215 [2]: (001402) 0000000001010000000010 {b, k, m}
 216 [2]: (001802) 0000000001100000000010 {b, l, m}
 217 [2]: (00200A) 0000000010000000001010 {b, d, n}
 218 [2]: (002012) 0000000010000000010010 {b, e, n}
 219 [2]: (002022) 0000000010000000100010 {b, f, n}
 220 [2]: (002042) 0000000010000001000010 {b, g, n}
 221 [2]: (002082) 0000000010000010000010 {b, h, n}
 222 [2]: (002102) 0000000010000100000010 {b, i, n}
 223 [2]: (002202) 0000000010001000000010 {b, j, n}
 224 [2]: (002402) 0000000010010000000010 {b, k, n}
 225 [2]: (002802) 0000000010100000000010 {b, l, n}
 226 [2]: (003002) 0000000011000000000010 {b, m, n}
 227 [2]: (00400A) 0000000100000000001010 {b, d, o}
 228 [2]: (004012) 0000000100000000010010 {b, e, o}
 229 [2]: (004022) 0000000100000000100010 {b, f, o}
 230 [2]: (004042) 0000000100000001000010 {b, g, o}
 231 [2]: (004082) 0000000100000010000010 {b, h, o}
 232 [2]: (004102) 0000000100000100000010 {b, i, o}
 233 [2]: (004202) 0000000100001000000010 {b, j, o}
 234 [2]: (004402) 0000000100010000000010 {b, k, o}
 235 [2]: (004802) 0000000100100000000010 {b, l, o}
 236 [2]: (005002) 0000000101000000000010 {b, m, o}
 237 [2]: (006002) 0000000110000000000010 {b, n, o}
 238 [2]: (00800A) 0000001000000000001010 {b, d, p}
 239 [2]: (008012) 0000001000000000010010 {b, e, p}
 240 [2]: (008022) 0000001000000000100010 {b, f, p}
 241 [2]: (008042) 0000001000000001000010 {b, g, p}
 242 [2]: (008082) 0000001000000010000010 {b, h, p}
 243 [2]: (008102) 0000001000000100000010 {b, i, p}
 244 [2]: (008202) 0000001000001000000010 {b, j, p}
 245 [2]: (008402) 0000001000010000000010 {b, k, p}
 246 [2]: (008802) 0000001000100000000010 {b, l, p}
 247 [2]: (009002) 0000001001000000000010 {b, m, p}
 248 [2]: (00A002) 0000001010000000000010 {b, n, p}
 249 [2]: (00C002) 0000001100000000000010 {b, o, p}
 250 [2]: (01000A) 0000010000000000001010 {b, d, q}
 251 [2]: (010012) 0000010000000000010010 {b, e, q}
 252 [2]: (010022) 0000010000000000100010 {b, f, q}
 253 [2]: (010042) 0000010000000001000010 {b, g, q}
 254 [2]: (010082) 0000010000000010000010 {b, h, q}
 255 [2]: (010102) 0000010000000100000010 {b, i, q}
 256 [2]: (010202) 0000010000001000000010 {b, j, q}
 257 [2]: (010402) 0000010000010000000010 {b, k, q}
 258 [2]: (010802) 0000010000100000000010 {b, l, q}
 259 [2]: (011002) 0000010001000000000010 {b, m, q}
 260 [2]: (012002) 0000010010000000000010 {b, n, q}
 261 [2]: (014002) 0000010100000000000010 {b, o, q}
 262 [2]: (018002) 0000011000000000000010 {b, p, q}
 263 [2]: (02000A) 0000100000000000001010 {b, d, r}
 264 [2]: (020012) 0000100000000000010010 {b, e, r}
 265 [2]: (020022) 0000100000000000100010 {b, f, r}
 266 [2]: (020042) 0000100000000001000010 {b, g, r}
 267 [2]: (020082) 0000100000000010000010 {b, h, r}
 268 [2]: (020102) 0000100000000100000010 {b, i, r}
 269 [2]: (020202) 0000100000001000000010 {b, j, r}
 270 [2]: (020402) 0000100000010000000010 {b, k, r}
 271 [2]: (020802) 0000100000100000000010 {b, l, r}
 272 [2]: (021002) 0000100001000000000010 {b, m, r}
 273 [2]: (022002) 0000100010000000000010 {b, n, r}
