** FASE 1: Generazione dei 6-subset a distanza casuale (5)
 206 [2]: (00029D) 001010011101 {a, c, d, e, h, j}
 207 [2]: (00031D) 001100011101 {a, c, d, e, i, j}
 208 [2]: (00045D) 010001011101 {a, c, d, e, g, k}
 209 [2]: (00049D) 010010011101 {a, c, d, e, h, k}
 210 [2]: (00051D) 010100011101 {a, c, d, e, i, k}
 211 [2]: (00061D) 011000011101 {a, c, d, e, j, k}
 212 [2]: (00085D) 100001011101 {a, c, d, e, g, l}
 213 [2]: (00089D) 100010011101 {a, c, d, e, h, l}
 214 [2]: (00091D) 100100011101 {a, c, d, e, i, l}
 215 [2]: (000A1D) 101000011101 {a, c, d, e, j, l}
 216 [2]: (000C1D) 110000011101 {a, c, d, e, k, l}
 217 [2]: (0000DB) 000011011011 {a, b, d, e, g, h}
 218 [2]: (00015B) 000101011011 {a, b, d, e, g, i}
 219 [2]: (00019B) 000110011011 {a, b, d, e, h, i}
 220 [2]: (00025B) 001001011011 {a, b, d, e, g, j}
 221 [2]: (00029B) 001010011011 {a, b, d, e, h, j}
 222 [2]: (00031B) 001100011011 {a, b, d, e, i, j}
 223 [2]: (00045B) 010001011011 {a, b, d, e, g, k}
 224 [2]: (00049B) 010010011011 {a, b, d, e, h, k}
 225 [2]: (00051B) 010100011011 {a, b, d, e, i, k}
 226 [2]: (00061B) 011000011011 {a, b, d, e, j, k}
 227 [2]: (00085B) 100001011011 {a, b, d, e, g, l}
 228 [2]: (00089B) 100010011011 {a, b, d, e, h, l}
 229 [2]: (00091B) 100100011011 {a, b, d, e, i, l}
 230 [2]: (000A1B) 101000011011 {a, b, d, e, j, l}
 231 [2]: (000C1B) 110000011011 {a, b, d, e, k, l}
 232 [2]: (0000D7) 000011010111 {a, b, c, e, g, h}
 233 [2]: (000157) 000101010111 {a, b, c, e, g, i}
 234 [2]: (000197) 000110010111 {a, b, c, e, h, i}
 235 [2]: (000257) 001001010111 {a, b, c, e, g, j}
 236 [2]: (000297) 001010010111 {a, b, c, e, h, j}
 237 [2]: (000317) 001100010111 {a, b, c, e, i, j}
 238 [2]: (000457) 010001010111 {a, b, c, e, g, k}
 239 [2]: (000497) 010010010111 {a, b, c, e, h, k}
 240 [2]: (000517) 010100010111 {a, b, c, e, i, k}
 241 [2]: (000617) 011000010111 {a, b, c, e, j, k}
 242 [2]: (000857) 100001010111 {a, b, c, e, g, l}
 243 [2]: (000897) 100010010111 {a, b, c, e, h, l}
